started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2021-07-01 10:09:34.049000+00:00,2021-07-01 10:31:20.499000+00:00,1306,259,St Andrew Square,North East corner,55.95490573198223,-3.192443756949956,2259,Leith Walk North,Next to Allander House,55.96791807044289,-3.1735862970647304
2021-07-01 10:16:37.279000+00:00,2021-07-01 10:22:14.005000+00:00,336,260,Lauriston Place,near Chalmers Street,55.944771652335476,-3.1972658564195626,1821,Drumsheugh Place,Corner with Drumsheugh Gardens,55.95159412232485,-3.2123542850940225
2021-07-01 10:23:12.804000+00:00,2021-07-01 10:34:22.226000+00:00,669,1721,Tollcross,Outside Piccolinos off Lauriston Place,55.944248052468346,-3.2031045991104747,1814,Abbeyhill,Near Abbey Mount,55.95524788917224,-3.1722162800950704
2021-07-01 10:25:01.596000+00:00,2021-07-01 10:26:17.943000+00:00,76,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.957915406923476,-3.1183320420902874,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.957915406923476,-3.1183320420902874
2021-07-01 10:33:18.383000+00:00,2021-07-01 10:37:43.741000+00:00,265,1039,Lothian Road,Outside the Usher Hall,55.947409199207115,-3.2057654971365537,289,Castle Street,Near Rose Street,55.951500737349754,-3.2031839065252825
2021-07-01 10:34:11.367000+00:00,2021-07-01 10:37:34.268000+00:00,202,1823,Boroughmuir,Off Gibson Terrace,55.94007146917616,-3.215335840688084,249,Fountainbridge,Fountainbridge by Gardner's Crescent,55.94335692764551,-3.2092475016246453
2021-07-01 10:37:25.117000+00:00,2021-07-01 10:57:30.869000+00:00,1205,1091,Holyrood Road,Opposite St Leonards Land,55.94955950619123,-3.180413257527789,264,Pollock Halls,Pollock Halls Entrance,55.94008064125911,-3.171746866852459
2021-07-01 10:38:33.692000+00:00,2021-07-01 10:57:51.664000+00:00,1157,1091,Holyrood Road,Opposite St Leonards Land,55.94955950619123,-3.180413257527789,264,Pollock Halls,Pollock Halls Entrance,55.94008064125911,-3.171746866852459
2021-07-01 10:39:31.232000+00:00,2021-07-01 10:51:06.262000+00:00,695,2268,Picardy Place,Outside Omni Centre,55.95653524179326,-3.1862476120746805,289,Castle Street,Near Rose Street,55.951500737349754,-3.2031839065252825
2021-07-01 10:39:58.499000+00:00,2021-07-01 10:54:14.640000+00:00,856,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432,1730,East London Street,Outside St Mary's Primary School,55.95995414501485,-3.1871977585476543
2021-07-01 10:43:46.398000+00:00,2021-07-01 10:50:30.899000+00:00,404,249,Fountainbridge,Fountainbridge by Gardner's Crescent,55.94335692764551,-3.2092475016246453,1024,Meadow Place,End of Meadow Place,55.940237631689435,-3.194640214184801
2021-07-01 10:49:01.564000+00:00,2021-07-01 11:04:10.092000+00:00,908,1818,Dynamic Earth,"Outside Dynamic Earth, Holyrood Road",55.951089465236365,-3.17572460948655,1050,EICC,Outside Edinburgh International Conference Centre,55.94607055533778,-3.2103963310007657
2021-07-01 10:50:56.023000+00:00,2021-07-01 11:32:10.804000+00:00,2474,1729,McDonald Road,Next to Fire Station,55.9640310527501,-3.1851753729504253,1722,Cramond Foreshore,Near Cramond Beach,55.980030767403164,-3.300641788832536
2021-07-01 10:54:31.028000+00:00,2021-07-01 11:49:11.031000+00:00,3280,1765,Haymarket Terrace,Corner of Magdala Crescent,55.946063966641006,-3.2230240243595745,1821,Drumsheugh Place,Corner with Drumsheugh Gardens,55.95159412232485,-3.2123542850940225
2021-07-01 10:55:58.716000+00:00,2021-07-01 11:24:48.019000+00:00,1729,258,Stockbridge,Hamilton Place by Dean Bank Lane,55.95856558589723,-3.2080701822277433,250,Victoria Quay,Entrance to Scottish Government Office,55.977617152546344,-3.1741263194576277
2021-07-01 10:59:26.678000+00:00,2021-07-01 11:29:00.347000+00:00,1773,1767,Bruntsfield Links,Corner of Bruntsfield Links next to Public Toilets,55.937123239991095,-3.206431879393449,1824,Duke Street,Junction with Easter Road,55.96901164826488,-3.16739470303429
2021-07-01 11:05:46.368000+00:00,2021-07-01 11:29:08.265000+00:00,1401,289,Castle Street,Near Rose Street,55.951500737349754,-3.2031839065252825,250,Victoria Quay,Entrance to Scottish Government Office,55.977617152546344,-3.1741263194576277
2021-07-01 11:12:43.930000+00:00,2021-07-01 11:23:00.959000+00:00,617,250,Victoria Quay,Entrance to Scottish Government Office,55.977617152546344,-3.1741263194576277,358,Leith Walk,Leith Walk opposite Dalmeny Street,55.96517649040763,-3.1761801702076298
2021-07-01 11:12:49.688000+00:00,2021-07-01 12:01:37.264000+00:00,2927,250,Victoria Quay,Entrance to Scottish Government Office,55.977617152546344,-3.1741263194576277,1818,Dynamic Earth,"Outside Dynamic Earth, Holyrood Road",55.951089465236365,-3.17572460948655
2021-07-01 11:16:56.462000+00:00,2021-07-01 12:06:57.449000+00:00,3000,1767,Bruntsfield Links,Corner of Bruntsfield Links next to Public Toilets,55.937123239991095,-3.206431879393449,1767,Bruntsfield Links,Corner of Bruntsfield Links next to Public Toilets,55.937123239991095,-3.206431879393449
2021-07-01 11:17:46.383000+00:00,2021-07-01 11:27:02.201000+00:00,555,264,Pollock Halls,Pollock Halls Entrance,55.94008064125911,-3.171746866852459,1052,Surgeons Hall,East side of Nicolson Street,55.94664279961712,-3.1854745859388913
2021-07-01 11:18:57.202000+00:00,2021-07-01 11:32:15.621000+00:00,798,1025,Dundee Terrace,Corner of Dundee Street & Dundee Terrace,55.93970989541296,-3.2205889336679547,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432
2021-07-01 11:20:06.161000+00:00,2021-07-01 12:26:58.265000+00:00,4012,1039,Lothian Road,Outside the Usher Hall,55.947409199207115,-3.2057654971365537,1722,Cramond Foreshore,Near Cramond Beach,55.980030767403164,-3.300641788832536
2021-07-01 11:20:52.936000+00:00,2021-07-01 11:34:14.934000+00:00,801,249,Fountainbridge,Fountainbridge by Gardner's Crescent,55.94335692764551,-3.2092475016246453,2268,Picardy Place,Outside Omni Centre,55.95653524179326,-3.1862476120746805
2021-07-01 11:21:14.569000+00:00,2021-07-01 12:27:58.122000+00:00,4003,1039,Lothian Road,Outside the Usher Hall,55.947409199207115,-3.2057654971365537,1722,Cramond Foreshore,Near Cramond Beach,55.980030767403164,-3.300641788832536
2021-07-01 11:25:17.862000+00:00,2021-07-01 11:32:49.210000+00:00,451,1051,Warrender Park Road,On corner with Spottiswoode Street,55.93836921723555,-3.1980326885466184,1017,Crichton Street,East end of street,55.94478427951007,-3.186906245433761
2021-07-01 11:30:58.659000+00:00,2021-07-01 11:46:39.609000+00:00,940,1052,Surgeons Hall,East side of Nicolson Street,55.94664279961712,-3.1854745859388913,1769,Brunswick Place,Corner of Elm Row/Brunswick Street,55.96085174106396,-3.180985762469163
2021-07-01 11:34:04.363000+00:00,2021-07-01 12:09:51.647000+00:00,2147,1765,Haymarket Terrace,Corner of Magdala Crescent,55.946063966641006,-3.2230240243595745,246,Royal Commonwealth Pool,Royal Commonwealth Pool Entrance,55.939000247888764,-3.173923554315593
2021-07-01 11:36:49.458000+00:00,2021-07-01 11:52:30.470000+00:00,941,1096,West Crosscauseway,On island next to Buccleuch Street,55.9438359841253,-3.1849514084976818,248,Bristo Square,"Bristo Square, near Potterrow",55.94583371599285,-3.189053072075467
2021-07-01 11:39:18.295000+00:00,2021-07-01 13:36:39.724000+00:00,7041,1024,Meadow Place,End of Meadow Place,55.940237631689435,-3.194640214184801,1824,Duke Street,Junction with Easter Road,55.96901164826488,-3.16739470303429
2021-07-01 11:40:42.294000+00:00,2021-07-01 12:10:08.563000+00:00,1766,1096,West Crosscauseway,On island next to Buccleuch Street,55.9438359841253,-3.1849514084976818,1096,West Crosscauseway,On island next to Buccleuch Street,55.9438359841253,-3.1849514084976818
2021-07-01 11:43:01.497000+00:00,2021-07-01 12:19:10.655000+00:00,2169,1024,Meadow Place,End of Meadow Place,55.940237631689435,-3.194640214184801,1024,Meadow Place,End of Meadow Place,55.940237631689435,-3.194640214184801
2021-07-01 11:46:08.541000+00:00,2021-07-01 11:55:35.713000+00:00,567,171,George Square,"George Square, south side in front of University library",55.94308406301113,-3.1883110727223993,1025,Dundee Terrace,Corner of Dundee Street & Dundee Terrace,55.93970989541296,-3.2205889336679547
2021-07-01 11:49:53.363000+00:00,2021-07-01 12:27:33.021000+00:00,2259,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.957915406923476,-3.1183320420902874,1024,Meadow Place,End of Meadow Place,55.940237631689435,-3.194640214184801
2021-07-01 11:49:59.900000+00:00,2021-07-01 12:06:38.209000+00:00,998,1821,Drumsheugh Place,Corner with Drumsheugh Gardens,55.95159412232485,-3.2123542850940225,1763,Comely Bank Road,Outside Raeburn Place Sports Ground,55.95941012836135,-3.2156613606136943
2021-07-01 11:51:20.873000+00:00,2021-07-01 11:58:10.958000+00:00,410,264,Pollock Halls,Pollock Halls Entrance,55.94008064125911,-3.171746866852459,1726,Simon Square,Between Pleasance and Nicholson Street,55.94485886752089,-3.182589723460069
2021-07-01 11:52:51.052000+00:00,2021-07-01 12:03:38.569000+00:00,647,264,Pollock Halls,Pollock Halls Entrance,55.94008064125911,-3.171746866852459,1028,Hunter Square,In Hunter Square next to Tron Kirk,55.949797565633276,-3.1877950320129003
